"opt","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
78,0.487629771699553,0.506027846309796,0.505320554747247,0.497296438661455,0.497049469374851,0.499901454502322,0.509213744443292,0.492215333303876,0.514707916537561,0.504437071919269,0.520002169622898,0.502820309574826,0.556157990220432,0.543488502475141,0.143659027086599,0.158631198230173,0.604108269145676,0.639922000855951,0.647405267930805,0.692431645212802
100,0.502142440826426,0.501003593416953,0.499394901087362,0.506359488264072,0.502960106451483,0.500804497220278,0.505095152309257,0.498492597567294,0.506931136073414,0.498826009806018,0.514850869785875,0.504528663284246,0.519805929231849,0.525785026416109,0.537970356572614,0.554445388731092,0.556795209475855,0.597314485011525,0.172034730957781,0.311333089027181
67,0.508743324435559,0.477571001000527,0.501998143058838,0.495010391634574,0.496788213505092,0.498685272174072,0.510127744363688,0.489701232671658,0.554226954772019,0.493496985813947,0.546985872147318,0.509014600729365,0.14020111159667,0.115900138742591,0.605016855438461,0.621243642039058,0.637889190327595,0.668541023113948,0.676291286328071,0.724873878944362
89,0.501626451473879,0.497014576171888,0.49932926440538,0.498340736927203,0.502572227197364,0.500035115512631,0.504212947719078,0.505187473087576,0.509473805473674,0.495834931264595,0.515238380078951,0.514313426661473,0.527874843126795,0.526049288484181,0.555046694795525,0.561991502384049,0.155155646890789,0.218499888863455,0.610709130416144,0.666543354134299
99,0.504758869965419,0.502232632521466,0.495390660783714,0.498449362990079,0.502516952654848,0.499004497564832,0.504237802332226,0.503226338260262,0.507479220806904,0.499439213973535,0.508402018649459,0.502498839563673,0.525237334066344,0.521504440565567,0.542190509319127,0.560244257734501,0.560966539455653,0.227347818298407,0.182290044633808,0.671944044130299
60,0.507257300254583,0.506080864083431,0.495486638310257,0.502596521624733,0.518614392904998,0.497385452020848,0.522461434355106,0.50377861310883,0.531972974666443,0.498152747820053,0.110305209869629,0.511681807284803,0.583357079046156,0.517929865836551,0.615014999612161,0.547835499919976,0.648390250418687,0.576385235363808,0.667021577707231,0.248596829725321
58,0.505468525821687,0.475716898123904,0.498285764231533,0.495960895735843,0.524614417425782,0.494003314643206,0.511543359202057,0.492285588626275,0.527849757269518,0.496578562440573,0.115421506401667,0.53471627685074,0.600438089342187,0.52993070686365,0.622175117394857,0.148876476870539,0.647454623376185,0.630259408348665,0.677362823072478,0.679878850655489
90,0.499665448307222,0.498493439243944,0.504020461163325,0.496795459032334,0.501217793192376,0.499474563931588,0.50569453582974,0.502755321943133,0.509512969347705,0.502620862519707,0.515719878407092,0.504959198707034,0.533119801676869,0.531029664928332,0.542126714629683,0.555426791137901,0.151232181002157,0.599712117740468,0.612364546485428,0.296362965053869
37,0.494788975240532,0.500519246392814,0.516820602696694,0.541334213712905,0.544293754752595,0.526593909561895,0.0895730904662529,0.498197290291313,0.589341251346039,0.491124041006404,0.60280004675635,0.521806568008517,0.643426601275601,0.109924784483971,0.665417343184404,0.635459995489115,0.668765875840533,0.66250708769946,0.72442103535259,0.711841480273353
68,0.506946627335635,0.488848859467403,0.499058443545464,0.501520222207257,0.497557563733316,0.504217943613648,0.509687841467136,0.502941381792297,0.531725791855247,0.512347084590792,0.54251209409618,0.509546694407784,0.133817126309471,0.540055584802662,0.594615787100062,0.15214918362233,0.625265549865149,0.63580814089891,0.653655956099209,0.682768907412817
38,0.509233329324359,0.507283599685448,0.542470685416157,0.486509505407066,0.54251089534712,0.49421729110079,0.100432953656559,0.488852118633196,0.586335632108807,0.496213076787663,0.618454870063771,0.520200614092339,0.624376053094946,0.538702149031643,0.670401732792443,0.13178171194312,0.670383664394555,0.616221525714538,0.722334259209111,0.663919523319455
80,0.497678696688184,0.502008709530168,0.502114276688374,0.499172659589262,0.503695882451156,0.494249448701963,0.510483321918422,0.496521211477011,0.510141839720213,0.500219389705619,0.523105382192103,0.511513741005963,0.543647587522894,0.527185857949519,0.132971406399368,0.556037778844329,0.597600023246111,0.593313096647698,0.629306277334421,0.282916274020938
40,0.516443014258748,0.499219502303236,0.522045240982957,0.514298041988859,0.524024520301205,0.491556397969716,0.0919623374631155,0.51156977104473,0.565223421133913,0.507083972852077,0.596040093584649,0.497706615424644,0.631861758908707,0.515606023130891,0.645710319896442,0.55411971024794,0.676451177650597,0.58352965654458,0.697945616942025,0.219976958151812
98,0.503050875429938,0.504387321185359,0.502330300132025,0.502244592043258,0.508519059277747,0.495586067162094,0.513016041570232,0.50216569441949,0.513025295136251,0.495682847110285,0.510903738040624,0.514229119610848,0.522328415159938,0.53061773048933,0.544086214734112,0.165638974418782,0.564043950448083,0.640868890014061,0.190502919530913,0.70652664112176
50,0.503159059974135,0.497655758634547,0.519471593343515,0.500873724423365,0.516415434396601,0.492933359603321,0.517670802679881,0.499930919690099,0.0987892478339621,0.499342980808563,0.579060299458399,0.49747303007067,0.604878497832698,0.516302158131609,0.627959105839756,0.531074070569408,0.658834623016233,0.584773215881732,0.67716815842596,0.234196629696276
88,0.496529082085753,0.501712620265968,0.51310158025413,0.503059566375074,0.500418035724319,0.496994658622184,0.503583924941857,0.492538053823639,0.510671759751997,0.494131577564239,0.519442600881504,0.504386393160394,0.539948992032604,0.525258564979205,0.547704121401118,0.156523238819088,0.163679973689282,0.638414843971425,0.618294097930021,0.697187559117994
30,0.515324475420723,0.509431726509136,0.534018306119531,0.505052798263876,0.0833164517516801,0.48305567725377,0.572785330738467,0.508090921965068,0.573734688942642,0.510339647941979,0.613298219602997,0.507186767200027,0.642968849774807,0.530382590183815,0.664798680124406,0.52079882726937,0.698360048447388,0.55009985771187,0.722304900210602,0.204614258390596
